node,propagated_risk
Check Point,100.0
AWS,98.17
Google Cloud,88.48
Oracle,77.25
Cisco,75.0
CrowdStrike,74.3
Cloudflare,61.94
Microsoft Azure,55.9
IBM Cloud,52.81
Fortinet,50.56
Palo Alto Networks,50.14
Snowflake,46.21
Deloitte,38.34
EY,34.69
SAP,34.13
KPMG,32.02
Okta,30.9
Oracle Cloud,28.37
Trend Micro,27.95
TCS,26.54
PwC,25.84
Zscaler,25.14
PayPal,24.58
Visa,21.63
ServiceNow,20.79
Infosys,17.42
Redis,14.47
MongoDB,13.9
Databricks,12.64
Accenture,12.64
Ping Identity,12.5
Workday,12.36
Mastercard,12.22
Wipro,10.81
Stripe,4.92
Auth0,3.65
APP001,100.0
APP002,100.0
APP003,100.0
APP004,100.0
APP005,100.0
APP006,100.0
APP007,100.0
APP008,100.0
APP009,100.0
APP010,95.79
APP011,95.79
APP012,95.79
APP013,93.0
APP014,93.0
APP015,93.0
APP016,92.13
APP017,92.13
APP018,92.13
APP019,76.81
APP020,76.81
APP021,76.81
APP022,69.32
APP023,69.32
APP024,69.32
APP025,65.48
APP026,65.48
APP027,65.48
APP028,62.69
APP029,62.69
APP030,62.69
APP031,62.17
APP032,62.17
APP033,62.17
APP034,57.3
APP035,57.3
APP036,57.3
APP037,47.54
APP038,47.54
APP039,47.54
APP040,43.02
APP041,43.02
APP042,43.02
APP043,42.32
APP044,42.32
APP045,42.32
APP046,39.7
APP047,39.7
APP048,39.7
APP049,38.32
APP050,38.32
APP051,38.32
APP052,35.18
APP053,35.18
APP054,35.18
APP055,34.66
APP056,34.66
APP057,34.66
APP058,32.91
APP059,32.91
APP060,32.91
APP061,32.04
APP062,32.04
APP063,32.04
APP064,31.17
APP065,31.17
APP066,31.17
APP067,30.48
APP068,30.48
APP069,30.48
APP070,26.82
APP071,26.82
APP072,26.82
APP073,25.78
APP074,25.78
APP075,25.78
APP076,21.6
APP077,21.6
APP078,21.6
APP079,17.94
APP080,17.94
APP081,17.94
APP082,17.24
APP083,17.24
APP084,17.24
APP085,15.67
APP086,15.67
APP087,15.67
APP088,15.67
APP089,15.67
APP090,15.67
APP091,15.5
APP092,15.5
APP093,15.5
APP094,15.33
APP095,15.33
APP096,15.33
APP097,15.15
APP098,15.15
APP099,15.15
APP100,13.4
APP101,13.4
APP102,13.4
APP103,6.1
APP104,6.1
APP105,6.1
APP106,4.53
APP107,4.53
APP108,4.53
API0230,25.76
API0074,23.5
API0522,70.89
API0087,83.37
API0470,100.0
API0078,93.37
API0298,54.78
API0419,100.0
API0343,100.0
API0384,53.14
API0007,88.0
API0118,20.06
API0411,32.5
API0076,33.37
API0273,65.03
API0196,16.24
API0495,22.2
API0102,81.15
API0527,20.66
API0056,100.0
API0374,73.74
API0186,46.9
API0299,44.78
API0168,48.32
API0480,52.22
API0003,100.0
API0181,76.9
API0358,43.89
API0011,68.0
API0312,44.65
API0372,13.74
API0177,48.32
API0246,25.56
API0465,42.25
API0350,43.89
API0525,20.89
