vendor,Cybersecurity,Financial,Compliance,Operational,risk_events_count,risk_score,risk_level
AWS,61,6,7,54,128,100.0,Critical
Check Point,64,5,3,49,121,97.88,Critical
Google Cloud,41,17,6,53,117,82.51,Critical
Oracle,58,1,4,18,81,76.45,High
Cisco,56,4,4,13,77,73.77,High
CrowdStrike,47,1,7,34,89,72.92,High
Cloudflare,37,1,4,43,85,63.33,High
Microsoft Azure,29,1,3,47,80,55.29,Moderate
IBM Cloud,41,0,2,11,54,52.33,Moderate
Fortinet,40,4,2,4,50,50.49,Moderate
Snowflake,35,5,7,7,54,50.21,Moderate
Palo Alto Networks,32,6,1,16,55,46.97,Moderate
Deloitte,29,0,3,2,34,35.68,Low
EY,28,1,3,0,32,34.27,Low
KPMG,25,0,8,1,34,34.27,Low
SAP,24,2,4,3,33,32.3,Low
Oracle Cloud,15,0,6,26,47,32.16,Low
Okta,23,2,4,1,30,30.32,Low
Trend Micro,23,0,2,1,26,27.79,Low
PwC,22,0,3,1,26,27.36,Low
TCS,13,5,4,12,34,25.39,Low
Zscaler,13,2,7,10,32,24.96,Low
PayPal,13,2,6,8,29,23.41,Low
ServiceNow,14,4,4,1,23,21.3,Low
Visa,9,2,5,15,31,21.16,Low
Infosys,11,2,1,6,20,16.78,Safe
Workday,4,2,6,12,24,14.95,Safe
Mastercard,6,1,7,5,19,14.39,Safe
MongoDB,9,0,2,3,14,12.83,Safe
Databricks,5,2,3,9,19,12.69,Safe
Accenture,7,2,4,1,14,12.27,Safe
Wipro,4,1,5,8,18,11.99,Safe
Redis,8,0,2,3,13,11.71,Safe
Ping Identity,7,0,3,1,11,10.44,Safe
Stripe,2,0,5,2,9,6.63,Safe
Auth0,2,0,3,0,5,4.37,Safe
