vendor,Cybersecurity,Financial,Compliance,Operational,risk_events_count,risk_score,risk_level
Check Point,64,6,5,55,130,100.0,Critical
AWS,61,6,4,63,134,99.31,Critical
Cisco,56,1,0,43,100,80.03,Critical
Oracle,58,0,2,14,74,71.07,High
CrowdStrike,47,2,3,38,90,70.66,High
Google Cloud,41,20,1,28,90,68.46,High
Cloudflare,37,3,4,44,88,63.36,High
IBM Cloud,41,2,9,20,72,60.74,High
Microsoft Azure,29,2,4,53,88,57.71,Moderate
Palo Alto Networks,32,10,7,17,66,52.62,Moderate
Fortinet,40,3,4,1,48,48.9,Moderate
Snowflake,35,5,6,0,46,45.45,Moderate
EY,28,2,5,0,35,35.4,Low
Deloitte,29,0,3,2,34,34.85,Low
Oracle Cloud,15,0,3,39,57,34.71,Low
SAP,24,3,5,2,34,32.37,Low
KPMG,25,0,4,1,30,30.72,Low
Okta,23,1,6,1,31,30.44,Low
PwC,22,1,5,1,29,28.65,Low
Trend Micro,23,0,4,1,28,28.51,Low
PayPal,13,10,3,11,37,26.45,Low
Zscaler,13,5,6,10,34,25.34,Low
Visa,9,3,4,24,40,24.24,Low
ServiceNow,14,9,4,1,28,23.55,Low
TCS,13,0,4,13,30,22.45,Low
Infosys,11,1,4,9,25,19.15,Safe
Workday,4,3,8,14,29,17.36,Safe
MongoDB,9,2,6,3,20,16.39,Safe
Redis,8,0,3,4,15,12.53,Safe
Accenture,7,0,6,1,14,12.26,Safe
Ping Identity,7,0,5,1,13,11.57,Safe
Wipro,4,1,4,9,18,11.43,Safe
Databricks,5,1,3,6,15,10.61,Safe
Mastercard,6,1,1,5,13,9.92,Safe
Stripe,2,3,2,7,14,8.13,Safe
Auth0,2,0,3,0,5,4.27,Safe
